Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.526,0.474,1,0.132,0.763,0,0.105,0,0.092,0.234,0.397,2.105,1.579,1
403,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,1,1,1.2,0.571,0.214,0,0.214,0,0.166,0.5,0.333,2.429,1.143,1
404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.588,1,1.188,0.031,0.844,0.125,0,0,0.21,0.265,0.5,1.529,1.176,1
405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.895,1,0.842,0.132,0.789,0,0.079,0,0.338,0.366,0.678,1.105,1.316,1
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.353,0.412,1,0.029,0.794,0,0.176,0,0.082,0.176,0.926,2.059,1.412,1
409,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.857,0.857,0.429,0.571,0.143,0,0.286,0,0.346,0.614,0.464,1.143,0.571,1
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.368,1,1,0.132,0.868,0,0,0,0.093,0.155,0.303,1.789,1.316,1
411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.235,1,1,0.147,0.853,0,0,0,0.403,0.185,0.942,2.059,1.294,1
412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.75,1,1,0.375,0.594,0,0,0.031,0.142,0.416,0.469,2,1,1
413,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.867,1,1.467,0.321,0.679,0,0,0,0.087,0.253,0.25,1.8,0.933,1
414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.438,1,1.2,0.567,0.433,0,0,0,0.082,0.428,0.25,1.875,1.438,1
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,Ratlam,MP,0.96,1,1.48,0.2,0.8,0,0,0,0.2,0.236,0.583,2.08,1.48,1
